[2018-07-10] | [16:43:46:506] | [info] | sending to window
[2018-07-10] | [16:43:47:501] | [info] | sending to window
[2018-07-10] | [16:44:03:889] | [info] | sending to window
[2018-07-10] | [16:44:04:312] | [info] | sending to window
[2018-07-10] | [16:56:59:110] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:57:55:408] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:01:608] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:08:577] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [17:00:01:195] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-13]  [18:16:49:146]  | [info] |  App starting...
[2018-07-13]  [18:16:49:149]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:16:51:130]  | [info] |  sending to window
[2018-07-13]  [18:20:12:387]  | [info] |  App starting...
[2018-07-13]  [18:20:12:391]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:20:14:786]  | [info] |  sending to window
[2018-07-13]  [18:21:13:901]  | [info] |  App starting...
[2018-07-13]  [18:21:13:905]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:21:15:731]  | [info] |  sending to window
[2018-07-13]  [18:28:01:354]  | [info] |  App starting...
[2018-07-13]  [18:28:01:360]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:28:03:231]  | [info] |  sending to window
[2018-07-13]  [18:28:47:988]  | [info] |  App starting...
[2018-07-13]  [18:28:47:993]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:28:49:915]  | [info] |  sending to window
[2018-07-13]  [18:39:48:393]  | [info] |  Checking for updates manually
[2018-07-13]  [18:39:48:481]  | [info] |  Checking for update
[2018-07-13]  [18:39:48:482]  | [info] |  Checking for updates...
[2018-07-13]  [18:39:48:484]  | [info] |  sending to window
[2018-07-13]  [18:39:52:843]  | [info] |  Update for version 2.5.3 is not available (latest version: 2.5.2, downgrade is disallowed).
[2018-07-13]  [18:39:58:599]  | [info] |  Up to date
[2018-07-13]  [18:39:58:607]  | [info] |  sending to window
[2018-07-13]  [19:01:56:856]  | [info] |  App starting...
[2018-07-13]  [19:01:56:861]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [19:01:58:576]  | [info] |  sending to window
[2018-07-16]  [11:16:35:467]  | [info] |  App starting...
[2018-07-16]  [11:16:35:470]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-16]  [11:16:37:625]  | [info] |  sending to window
[2018-07-16]  [11:20:15:042]  | [info] |  App starting...
[2018-07-16]  [11:20:15:045]  | [info] |  DEV ENVIRONMENT = true, true
